"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","RASM-3VTW2E & HWD-W2E-220S(-K) - Heating Only","0","0","0","1","0"
"","application","3","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","6.00","4","10","0","2","0"
"","EN14511_2_001","6.00","5","10","0","2","0"
"","EN14511_2_002","1.32","4","10","0","2","0"
"","EN14511_2_002","1.94","5","10","0","2","0"
"","EN14511_2_003","4.55","4","10","0","2","0"
"","EN14511_2_003","3.10","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","41","4","3","0","2","0"
"","EN12102_1_001","41","5","3","0","2","0"
"","EN12102_1_002","56","4","3","0","2","0"
"","EN12102_1_002","56","5","3","0","2","0"
"","EN14825_001","184","4","3","0","2","0"
"","EN14825_001","132","5","3","0","2","0"
"","EN14825_002","6.00","4","3","0","2","0"
"","EN14825_002","6.00","5","3","0","2","0"
"","EN14825_003","4.67","4","3","0","2","0"
"","EN14825_003","3.37","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","5.30","4","3","0","2","0"
"","EN14825_008","5.30","5","3","0","2","0"
"","EN14825_009","2.91","4","3","0","2","0"
"","EN14825_009","2.20","5","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","3.20","4","3","0","2","0"
"","EN14825_010","3.20","5","3","0","2","0"
"","EN14825_011","4.53","4","3","0","2","0"
"","EN14825_011","3.14","5","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","2.89","4","3","0","2","0"
"","EN14825_012","2.86","5","3","0","2","0"
"","EN14825_013","6.89","4","3","0","2","0"
"","EN14825_013","4.94","5","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","2.96","4","3","0","2","0"
"","EN14825_014","2.80","5","3","0","2","0"
"","EN14825_015","9.27","4","3","0","2","0"
"","EN14825_015","7.28","5","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","5.30","4","3","0","2","0"
"","EN14825_016","5.30","5","3","0","2","0"
"","EN14825_017","2.91","4","3","0","2","0"
"","EN14825_017","2.20","5","3","0","2","0"
"","EN14825_018","5.31","4","3","0","2","0"
"","EN14825_018","5.30","5","3","0","2","0"
"","EN14825_019","2.89","4","3","0","2","0"
"","EN14825_019","1.86","5","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","35","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","13","4","3","0","2","0"
"","EN14825_023","13","5","3","0","2","0"
"","EN14825_024","13","4","3","0","2","0"
"","EN14825_024","13","5","3","0","2","0"
"","EN14825_025","13","4","3","0","2","0"
"","EN14825_025","13","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.70","4","3","0","2","0"
"","EN14825_028","0.70","5","3","0","2","0"
"","EN14825_029","2654","4","3","0","2","0"
"","EN14825_029","3682","5","3","0","2","0"
"","EN16147_001","L","0","3","0","2","0"
"","EN16147_002","130","0","3","0","2","0"
"","EN16147_003","3.19","0","3","0","2","0"
"","EN16147_004","1:36","0","3","0","2","0"
"","EN16147_005","35.0","0","3","0","2","0"
"","EN16147_006","52.0","0","3","0","2","0"
"","EN16147_007","288","0","3","0","2","0"
"","title","RASM-3VTW2E & HWD-W2E-220S(-K) - With Cooling Kit","0","0","0","1","0"
"","application","3","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","1","0","0","0","1","0"
"","coolingMode18c23c","1","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","6.00","4","10","0","2","0"
"","EN14511_2_001","6.00","5","10","0","2","0"
"","EN14511_2_002","2.06","6","4","0","2","0"
"","EN14511_2_002","1.41","7","4","0","2","0"
"","EN14511_2_002","1.32","4","10","0","2","0"
"","EN14511_2_002","1.94","5","10","0","2","0"
"","EN14511_2_003","4.55","4","10","0","2","0"
"","EN14511_2_003","3.10","5","10","0","2","0"
"","EN14511_2_005","6.00","6","4","0","2","0"
"","EN14511_2_005","6.00","7","4","0","2","0"
"","EN14511_2_007","2.91","6","4","0","2","0"
"","EN14511_2_007","4.26","7","4","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","41","4","3","0","2","0"
"","EN12102_1_001","41","5","3","0","2","0"
"","EN12102_1_002","56","4","3","0","2","0"
"","EN12102_1_002","56","5","3","0","2","0"
"","EN14825_001","184","4","3","0","2","0"
"","EN14825_001","133","5","3","0","2","0"
"","EN14825_002","6.00","4","3","0","2","0"
"","EN14825_002","6.00","5","3","0","2","0"
"","EN14825_003","4.67","4","3","0","2","0"
"","EN14825_003","3.41","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","5.30","4","3","0","2","0"
"","EN14825_008","5.30","5","3","0","2","0"
"","EN14825_009","2.91","4","3","0","2","0"
"","EN14825_009","2.20","5","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","3.20","4","3","0","2","0"
"","EN14825_010","3.20","5","3","0","2","0"
"","EN14825_011","4.53","4","3","0","2","0"
"","EN14825_011","3.14","5","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","2.89","4","3","0","2","0"
"","EN14825_012","2.86","5","3","0","2","0"
"","EN14825_013","6.89","4","3","0","2","0"
"","EN14825_013","4.94","5","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","2.96","4","3","0","2","0"
"","EN14825_014","2.80","5","3","0","2","0"
"","EN14825_015","9.27","4","3","0","2","0"
"","EN14825_015","7.28","5","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","5.30","4","3","0","2","0"
"","EN14825_016","5.30","5","3","0","2","0"
"","EN14825_017","2.91","4","3","0","2","0"
"","EN14825_017","2.20","5","3","0","2","0"
"","EN14825_018","5.31","4","3","0","2","0"
"","EN14825_018","5.30","5","3","0","2","0"
"","EN14825_019","2.89","4","3","0","2","0"
"","EN14825_019","1.86","5","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_030","6.00","6","4","0","2","0"
"","EN14825_030","6.00","7","4","0","2","0"
"","EN14825_031","3.75","6","4","0","2","0"
"","EN14825_031","5.05","7","4","0","2","0"
"","EN14825_032","6.00","6","4","0","2","0"
"","EN14825_032","6.00","7","4","0","2","0"
"","EN14825_033","2.91","6","4","0","2","0"
"","EN14825_033","4.26","7","4","0","2","0"
"","EN14825_052","0.900","6","4","0","2","0"
"","EN14825_052","0.900","7","4","0","2","0"
"","EN14825_034","4.40","6","4","0","2","0"
"","EN14825_034","4.40","7","4","0","2","0"
"","EN14825_035","3.79","6","4","0","2","0"
"","EN14825_035","4.77","7","4","0","2","0"
"","EN14825_053","0.900","6","4","0","2","0"
"","EN14825_053","0.900","7","4","0","2","0"
"","EN14825_036","2.80","6","4","0","2","0"
"","EN14825_036","2.80","7","4","0","2","0"
"","EN14825_037","3.91","6","4","0","2","0"
"","EN14825_037","5.55","7","4","0","2","0"
"","EN14825_054","0.900","6","4","0","2","0"
"","EN14825_054","0.900","7","4","0","2","0"
"","EN14825_038","2.76","6","4","0","2","0"
"","EN14825_038","3.26","7","4","0","2","0"
"","EN14825_039","4.74","6","4","0","2","0"
"","EN14825_039","6.57","7","4","0","2","0"
"","EN14825_055","0.900","6","4","0","2","0"
"","EN14825_055","0.900","7","4","0","2","0"
"","EN14825_022","35","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","13","4","3","0","2","0"
"","EN14825_023","13","5","3","0","2","0"
"","EN14825_023","13","6","4","0","2","0"
"","EN14825_023","13","7","4","0","2","0"
"","EN14825_024","13","4","3","0","2","0"
"","EN14825_024","13","5","3","0","2","0"
"","EN14825_024","0","6","4","0","2","0"
"","EN14825_024","0","7","4","0","2","0"
"","EN14825_025","13","4","3","0","2","0"
"","EN14825_025","13","5","3","0","2","0"
"","EN14825_025","13","6","4","0","2","0"
"","EN14825_025","13","7","4","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_026","0","6","4","0","2","0"
"","EN14825_026","0","7","4","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.70","4","3","0","2","0"
"","EN14825_028","0.70","5","3","0","2","0"
"","EN14825_029","2654","4","3","0","2","0"
"","EN14825_029","3635","5","3","0","2","0"
"","EN14825_041","960","6","4","0","2","0"
"","EN14825_041","713","7","4","0","2","0"
"","EN16147_001","L","0","3","0","2","0"
"","EN16147_002","130","0","3","0","2","0"
"","EN16147_003","3.19","0","3","0","2","0"
"","EN16147_004","1:36","0","3","0","2","0"
"","EN16147_005","35.0","0","3","0","2","0"
"","EN16147_006","52.0","0","3","0","2","0"
"","EN16147_007","288","0","3","0","2","0"
"","title","RASM-3VTW2E & HWM-W2E - Heating Only","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","6.00","4","10","0","2","0"
"","EN14511_2_001","6.00","5","10","0","2","0"
"","EN14511_2_002","1.24","4","10","0","2","0"
"","EN14511_2_002","1.94","5","10","0","2","0"
"","EN14511_2_003","4.84","4","10","0","2","0"
"","EN14511_2_003","3.10","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","41","4","3","0","2","0"
"","EN12102_1_001","41","5","3","0","2","0"
"","EN12102_1_002","56","4","3","0","2","0"
"","EN12102_1_002","56","5","3","0","2","0"
"","EN14825_001","184","4","3","0","2","0"
"","EN14825_001","132","5","3","0","2","0"
"","EN14825_002","6.00","4","3","0","2","0"
"","EN14825_002","6.00","5","3","0","2","0"
"","EN14825_003","4.67","4","3","0","2","0"
"","EN14825_003","3.37","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","5.30","4","3","0","2","0"
"","EN14825_008","5.30","5","3","0","2","0"
"","EN14825_009","2.91","4","3","0","2","0"
"","EN14825_009","2.20","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","3.20","4","3","0","2","0"
"","EN14825_010","3.20","5","3","0","2","0"
"","EN14825_011","4.53","4","3","0","2","0"
"","EN14825_011","3.14","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","2.89","4","3","0","2","0"
"","EN14825_012","2.86","5","3","0","2","0"
"","EN14825_013","6.89","4","3","0","2","0"
"","EN14825_013","4.94","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","2.96","4","3","0","2","0"
"","EN14825_014","2.80","5","3","0","2","0"
"","EN14825_015","9.27","4","3","0","2","0"
"","EN14825_015","7.28","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","5.30","4","3","0","2","0"
"","EN14825_016","5.30","5","3","0","2","0"
"","EN14825_017","2.91","4","3","0","2","0"
"","EN14825_017","2.20","5","3","0","2","0"
"","EN14825_018","5.31","4","3","0","2","0"
"","EN14825_018","5.30","5","3","0","2","0"
"","EN14825_019","2.89","4","3","0","2","0"
"","EN14825_019","1.86","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","13","4","3","0","2","0"
"","EN14825_023","13","5","3","0","2","0"
"","EN14825_024","13","4","3","0","2","0"
"","EN14825_024","13","5","3","0","2","0"
"","EN14825_025","13","4","3","0","2","0"
"","EN14825_025","13","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.70","4","3","0","2","0"
"","EN14825_028","0.70","5","3","0","2","0"
"","EN14825_029","2654","4","3","0","2","0"
"","EN14825_029","3682","5","3","0","2","0"
"","title","RASM-3VTW2E & HWM-W2E - With Cooling Kit","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","1","0","0","0","1","0"
"","coolingMode18c23c","1","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","6.00","4","10","0","2","0"
"","EN14511_2_001","6.00","5","10","0","2","0"
"","EN14511_2_002","2.06","6","4","0","2","0"
"","EN14511_2_002","1.41","7","4","0","2","0"
"","EN14511_2_002","1.24","4","10","0","2","0"
"","EN14511_2_002","1.94","5","10","0","2","0"
"","EN14511_2_003","4.84","4","10","0","2","0"
"","EN14511_2_003","3.10","5","10","0","2","0"
"","EN14511_2_005","6.00","6","4","0","2","0"
"","EN14511_2_005","6.00","7","4","0","2","0"
"","EN14511_2_007","2.91","6","4","0","2","0"
"","EN14511_2_007","4.26","7","4","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
